booking_id,property_id,property_name,country,region,check_in,check_out,num_nights,num_guests,booking_channel,currency,room_rate,revenue,fx_rate_to_zar,revenue_zar,created_at
B1024,P009,Cape Winelands Manor,South Africa,Western Cape,2025-09-29,2025-10-02,3,1.0,Direct,USD,7800,23400.0,18.5,432900.0,2025-07-14 00:00:00
B1026,P004,Okavango Delta Camp,Botswana,North-West,2025-05-16,2025-05-23,7,2.0,Travel Agent,GBP,9200,64400.0,23.4,1506960.0,2025-02-28 00:00:00
B1027,P002,Table Bay Retreat,South Africa,Western Cape,2025-02-07,2025-02-16,9,2.0,Travel Agent,GBP,7800,70200.0,23.4,1642680.0,2025-01-13 00:00:00
B1028,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-10-06,2025-10-11,5,5.0,Travel Agent,USD,12000,60000.0,18.5,1110000.0,2025-09-14 00:00:00
B1029,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-03-01,2025-03-03,2,6.0,Travel Agent,EUR,7800,15600.0,20.1,313560.0,2025-01-29 00:00:00
B1030,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-09-16,2025-09-24,8,3.0,Website,USD,12000,96000.0,18.5,1776000.0,2025-08-26 00:00:00
B1031,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-03-24,2025-04-01,8,5.0,Direct,ZAR,9200,73600.0,1.0,73600.0,2025-02-28 00:00:00
B1032,P009,Cape Winelands Manor,South Africa,Western Cape,2025-01-19,2025-01-25,6,5.0,OTA,EUR,7800,46800.0,20.1,940680.0,2025-01-09 00:00:00
B1033,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-04-18,2025-04-22,4,6.0,Website,GBP,2500,10000.0,23.4,234000.0,2025-03-14 00:00:00
B1035,P007,Namib Desert Camp,Namibia,Erongo,2025-01-20,2025-01-28,8,2.0,Travel Agent,ZAR,3200,25600.0,1.0,25600.0,2024-12-22 00:00:00
B1036,P007,Namib Desert Camp,Namibia,Erongo,2025-06-18,2025-06-23,5,1.0,Website,GBP,12000,60000.0,23.4,1404000.0,2025-06-10 00:00:00
B1037,P002,Table Bay Retreat,South Africa,Western Cape,2025-05-14,2025-05-17,3,5.0,Website,USD,4100,12300.0,18.5,227550.0,2025-03-05 00:00:00
B1038,P002,Table Bay Retreat,South Africa,Western Cape,2025-07-17,2025-07-27,10,2.0,Direct,USD,4100,41000.0,18.5,758500.0,2025-04-18 00:00:00
B1039,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-10-06,2025-12-06,61,6.0,Travel Agent,GBP,4100,8200.0,23.4,191880.0,2025-05-20 00:00:00
B1040,P004,Okavango Delta Camp,Botswana,North-West,2025-08-04,2025-08-11,7,6.0,Travel Agent,EUR,9200,64400.0,20.1,1294440.0,2025-06-22 00:00:00
B1041,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-04-18,2025-04-25,7,5.0,Website,GBP,7800,54600.0,23.4,1277640.0,2025-02-12 00:00:00
B1042,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-02-13,2025-02-18,5,5.0,OTA,GBP,9200,46000.0,23.4,1076400.0,2025-01-14 00:00:00
B1043,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-01-13,2025-01-14,1,2.0,Website,USD,5500,5500.0,18.5,101750.0,2024-11-20 00:00:00
B1044,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-07-24,2025-07-28,4,2.0,Website,USD,9200,36800.0,18.5,680800.0,2025-05-14 00:00:00
B1045,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-01-26,2025-04-02,66,2.0,OTA,USD,12000,108000.0,18.5,1998000.0,2024-11-26 00:00:00
B1046,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-09-16,2025-09-23,7,5.0,Website,EUR,5500,38500.0,20.1,773850.0,2025-08-07 00:00:00
B1047,P009,Cape Winelands Manor,South Africa,Western Cape,2025-09-06,2025-09-10,4,3.0,OTA,USD,5500,22000.0,18.5,407000.0,2025-06-24 00:00:00
B1048,P002,Table Bay Retreat,South Africa,Western Cape,2025-03-12,2025-03-15,3,2.0,Direct,EUR,5500,16500.0,20.1,331650.0,2025-01-07 00:00:00
B1049,P007,Namib Desert Camp,Namibia,Erongo,2025-02-01,2025-02-05,4,4.0,Website,USD,5500,22000.0,18.5,407000.0,2024-12-20 00:00:00
B1051,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-07-27,2025-07-30,3,4.0,Direct,USD,3200,9600.0,18.5,177600.0,2025-05-24 00:00:00
B1052,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-01-26,2025-01-31,5,4.0,Travel Agent,EUR,4100,20500.0,20.1,412050.0,2024-11-29 00:00:00
B1053,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-02-11,2025-02-19,8,1.0,OTA,USD,9200,73600.0,18.5,1361600.0,2024-11-15 00:00:00
B1054,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-01-16,2025-01-20,4,2.0,OTA,USD,12000,48000.0,18.5,888000.0,2024-12-28 00:00:00
B1055,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-04-22,2025-04-30,8,6.0,Direct,GBP,4100,32800.0,23.4,767520.0,2025-04-14 00:00:00
B1056,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-10-22,2025-10-29,7,4.0,OTA,EUR,9200,64400.0,20.1,1294440.0,2025-08-02 00:00:00
B1057,P002,Table Bay Retreat,South Africa,Western Cape,2025-10-17,2025-10-18,1,3.0,Direct,ZAR,7800,7800.0,1.0,7800.0,2025-08-11 00:00:00
B1058,P002,Table Bay Retreat,South Africa,Western Cape,2025-08-10,2025-08-16,6,6.0,Website,ZAR,12000,72000.0,1.0,72000.0,2025-05-14 00:00:00
B1059,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-10-03,2025-10-11,8,4.0,OTA,GBP,5500,44000.0,23.4,1029600.0,2025-08-28 00:00:00
B1060,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-10-19,2025-10-29,10,6.0,Website,GBP,5500,55000.0,23.4,1287000.0,2025-08-30 00:00:00
B1061,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-06-24,2025-06-29,5,5.0,Direct,GBP,9200,46000.0,23.4,1076400.0,2025-04-28 00:00:00
B1063,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-10-25,2025-10-31,6,4.0,Travel Agent,GBP,7800,46800.0,23.4,1095120.0,2025-09-11 00:00:00
B1064,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-04-29,2025-05-01,2,6.0,OTA,GBP,3200,6400.0,23.4,149760.0,2025-03-20 00:00:00
B1065,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-09-26,2025-10-06,10,3.0,OTA,EUR,2500,25000.0,20.1,502500.0,2025-07-15 00:00:00
B1066,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-05-21,2025-05-22,1,1.0,Website,GBP,7800,7800.0,23.4,182520.0,2025-03-17 00:00:00
B1067,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-08-14,2025-08-20,6,2.0,Direct,GBP,2500,15000.0,23.4,351000.0,2025-05-28 00:00:00
B1068,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-03-19,2025-03-22,3,5.0,Direct,USD,4100,12300.0,18.5,227550.0,2025-01-25 00:00:00
B1069,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-08-15,2025-08-20,5,5.0,Direct,GBP,5500,27500.0,23.4,643500.0,2025-07-08 00:00:00
B1070,P002,Table Bay Retreat,South Africa,Western Cape,2025-03-22,2025-03-26,4,2.0,Direct,USD,7800,31200.0,18.5,577200.0,2025-01-16 00:00:00
B1071,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-01-17,2025-01-21,4,3.0,Direct,GBP,9200,36800.0,23.4,861120.0,2024-10-24 00:00:00
B1072,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-04-12,2025-04-19,7,1.0,Travel Agent,EUR,7800,54600.0,20.1,1097460.0,2025-02-27 00:00:00
B1073,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-10-19,2025-10-24,5,4.0,Website,ZAR,2500,12500.0,1.0,12500.0,2025-08-19 00:00:00
B1074,P002,Table Bay Retreat,South Africa,Western Cape,2025-01-21,2025-01-28,7,6.0,Direct,GBP,4100,28700.0,23.4,671580.0,2024-11-04 00:00:00
B1076,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-02-16,2025-02-24,8,3.0,Direct,GBP,5500,44000.0,23.4,1029600.0,2024-12-10 00:00:00
B1077,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-07-25,2025-08-03,9,1.0,Travel Agent,USD,5500,49500.0,18.5,915750.0,2025-05-30 00:00:00
B1078,P009,Cape Winelands Manor,South Africa,Western Cape,2025-01-01,2025-01-10,9,4.0,Travel Agent,USD,5500,49500.0,18.5,915750.0,2024-12-21 00:00:00
B1079,P004,Okavango Delta Camp,Botswana,North-West,2025-05-17,2025-05-26,9,2.0,Direct,ZAR,4100,36900.0,1.0,36900.0,2025-04-12 00:00:00
B1080,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-06-09,2025-06-18,9,1.0,OTA,ZAR,7800,70200.0,1.0,70200.0,2025-03-14 00:00:00
B1081,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-09-13,2025-09-18,5,5.0,Website,GBP,9200,46000.0,23.4,1076400.0,2025-08-21 00:00:00
B1082,P007,Namib Desert Camp,Namibia,Erongo,2025-04-08,2025-04-18,10,5.0,Travel Agent,EUR,9200,92000.0,20.1,1849200.0,2025-01-29 00:00:00
B1083,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-01-02,2025-01-07,5,6.0,Website,ZAR,4100,20500.0,1.0,20500.0,2024-10-19 00:00:00
B1084,P009,Cape Winelands Manor,South Africa,Western Cape,2025-07-13,2025-07-21,8,3.0,Website,EUR,12000,96000.0,20.1,1929600.0,2025-05-09 00:00:00
B1085,P007,Namib Desert Camp,Namibia,Erongo,2025-07-17,2025-07-20,3,4.0,Travel Agent,EUR,2500,7500.0,20.1,150750.0,2025-05-15 00:00:00
B1086,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-03-15,2025-03-22,7,6.0,Travel Agent,USD,3200,22400.0,18.5,414400.0,2025-01-27 00:00:00
B1087,P009,Cape Winelands Manor,South Africa,Western Cape,2025-07-14,2025-07-20,6,6.0,Direct,ZAR,9200,55200.0,1.0,55200.0,2025-06-03 00:00:00
B1088,P004,Okavango Delta Camp,Botswana,North-West,2025-02-16,2025-02-23,7,1.0,OTA,USD,12000,84000.0,18.5,1554000.0,2025-02-06 00:00:00
B1089,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-01-29,2025-02-03,5,3.0,OTA,ZAR,4100,20500.0,1.0,20500.0,2025-01-01 00:00:00
B1090,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-03-31,2025-04-02,2,5.0,OTA,ZAR,12000,24000.0,1.0,24000.0,2025-01-26 00:00:00
B1091,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-08-24,2025-08-29,5,6.0,OTA,ZAR,2500,12500.0,1.0,12500.0,2025-06-05 00:00:00
B1092,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-08-06,2025-08-11,5,4.0,Website,GBP,12000,60000.0,23.4,1404000.0,2025-05-20 00:00:00
B1093,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-10-22,2025-10-27,5,6.0,Travel Agent,USD,4100,20500.0,18.5,379250.0,2025-08-15 00:00:00
B1094,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-04-28,2025-05-08,10,3.0,Travel Agent,EUR,3200,32000.0,20.1,643200.0,2025-04-06 00:00:00
B1095,P002,Table Bay Retreat,South Africa,Western Cape,2025-01-21,2025-01-26,5,4.0,Direct,GBP,2500,12500.0,23.4,292500.0,2024-12-25 00:00:00
B1096,P004,Okavango Delta Camp,Botswana,North-West,2025-03-09,2025-03-18,9,3.0,Travel Agent,GBP,7800,70200.0,23.4,1642680.0,2025-01-20 00:00:00
B1097,P002,Table Bay Retreat,South Africa,Western Cape,2025-08-28,2025-08-30,2,2.0,Travel Agent,EUR,12000,24000.0,20.1,482400.0,2025-06-16 00:00:00
B1098,P002,Table Bay Retreat,South Africa,Western Cape,2025-08-21,2025-08-27,6,6.0,Website,GBP,9200,55200.0,23.4,1291680.0,2025-07-18 00:00:00
B1099,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-01-13,2025-01-23,10,5.0,Website,EUR,4100,41000.0,20.1,824100.0,2024-12-25 00:00:00
B1100,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-01-24,2025-01-25,1,3.0,OTA,USD,5500,5500.0,18.5,101750.0,2024-12-03 00:00:00
B1102,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-07-09,2025-07-13,4,4.0,Direct,EUR,5500,22000.0,20.1,442200.0,2025-04-13 00:00:00
B1104,P004,Okavango Delta Camp,Botswana,North-West,2025-03-06,2025-03-16,10,2.0,OTA,EUR,2500,25000.0,20.1,502500.0,2024-12-15 00:00:00
B1105,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-05-22,2025-05-25,3,2.0,Direct,GBP,7800,23400.0,23.4,547560.0,2025-04-17 00:00:00
B1106,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-06-15,2025-06-16,1,2.0,Website,USD,4100,4100.0,18.5,75850.0,2025-04-11 00:00:00
B1107,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-07-05,2025-07-14,9,5.0,OTA,ZAR,2500,22500.0,1.0,22500.0,2025-04-07 00:00:00
B1109,P002,Table Bay Retreat,South Africa,Western Cape,2025-02-11,2025-02-17,6,5.0,Travel Agent,USD,3200,19200.0,18.5,355200.0,2024-11-22 00:00:00
B1110,P009,Cape Winelands Manor,South Africa,Western Cape,2025-05-31,2025-06-08,8,5.0,Direct,ZAR,7800,62400.0,1.0,62400.0,2025-04-27 00:00:00
B1111,P007,Namib Desert Camp,Namibia,Erongo,2025-06-23,2025-07-01,8,4.0,Website,USD,5500,44000.0,18.5,814000.0,2025-05-30 00:00:00
B1112,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-02-04,2025-02-06,2,1.0,Travel Agent,ZAR,2500,5000.0,1.0,5000.0,2024-11-20 00:00:00
B1113,P009,Cape Winelands Manor,South Africa,Western Cape,2025-06-18,2025-06-20,2,4.0,Travel Agent,ZAR,4100,8200.0,1.0,8200.0,2025-04-01 00:00:00
B1114,P009,Cape Winelands Manor,South Africa,Western Cape,2025-04-19,2025-04-22,3,6.0,Travel Agent,EUR,5500,16500.0,20.1,331650.0,2025-03-10 00:00:00
B1115,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-04-26,2025-05-03,7,5.0,Travel Agent,USD,12000,84000.0,18.5,1554000.0,2025-03-13 00:00:00
B1116,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-06-29,2025-06-30,1,2.0,Website,EUR,12000,12000.0,20.1,241200.0,2025-06-21 00:00:00
B1117,P002,Table Bay Retreat,South Africa,Western Cape,2025-09-29,2025-10-03,4,4.0,OTA,ZAR,5500,22000.0,1.0,22000.0,2025-07-14 00:00:00
B1118,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-02-13,2025-02-14,1,2.0,Travel Agent,USD,3200,3200.0,18.5,59200.0,2024-12-14 00:00:00
B1119,P007,Namib Desert Camp,Namibia,Erongo,2025-05-20,2025-05-24,4,5.0,Direct,GBP,2500,10000.0,23.4,234000.0,2025-03-14 00:00:00
B1120,P009,Cape Winelands Manor,South Africa,Western Cape,2025-06-07,2025-06-08,1,2.0,OTA,USD,5500,5500.0,18.5,101750.0,2025-05-01 00:00:00
B1121,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-06-17,2025-06-19,2,1.0,OTA,ZAR,5500,11000.0,1.0,11000.0,2025-04-09 00:00:00
B1122,P009,Cape Winelands Manor,South Africa,Western Cape,2025-01-07,2025-03-07,59,4.0,Direct,USD,12000,24000.0,18.5,444000.0,2025-04-14 00:00:00
B1123,P007,Namib Desert Camp,Namibia,Erongo,2025-10-21,2025-10-28,7,6.0,Direct,ZAR,9200,64400.0,1.0,64400.0,2025-09-25 00:00:00
B1124,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-08-24,2025-08-30,6,1.0,Website,USD,5500,33000.0,18.5,610500.0,2025-06-30 00:00:00
B1125,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-06-23,2025-06-27,4,3.0,Direct,EUR,12000,48000.0,20.1,964800.0,2025-03-28 00:00:00
B1126,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-05-01,2025-05-03,2,2.0,OTA,EUR,4100,8200.0,20.1,164820.0,2025-02-05 00:00:00
B1127,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-08-26,2025-09-05,10,5.0,OTA,GBP,5500,55000.0,23.4,1287000.0,2025-06-02 00:00:00
B1128,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-05-21,2025-05-31,10,1.0,Website,USD,4100,41000.0,18.5,758500.0,2025-04-10 00:00:00
B1129,P002,Table Bay Retreat,South Africa,Western Cape,2025-02-16,2025-02-26,10,5.0,Direct,ZAR,7800,78000.0,1.0,78000.0,2025-01-01 00:00:00
B1130,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-09-01,2025-09-10,9,2.0,Travel Agent,ZAR,2500,22500.0,1.0,22500.0,2025-08-05 00:00:00
B1131,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-05-07,2025-05-15,8,4.0,Travel Agent,EUR,7800,62400.0,20.1,1254240.0,2025-03-20 00:00:00
B1132,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-01-27,2025-02-02,6,1.0,Website,USD,4100,24600.0,18.5,455100.0,2024-10-30 00:00:00
B1133,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-03-18,2025-03-24,6,1.0,Travel Agent,EUR,7800,46800.0,20.1,940680.0,2025-02-25 00:00:00
B1134,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-02-13,2025-02-18,5,5.0,Direct,GBP,5500,27500.0,23.4,643500.0,2024-12-24 00:00:00
B1135,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-04-03,2025-04-07,4,3.0,OTA,ZAR,12000,48000.0,1.0,48000.0,2025-03-17 00:00:00
B1136,P009,Cape Winelands Manor,South Africa,Western Cape,2025-10-04,2025-10-13,9,1.0,OTA,GBP,9200,82800.0,23.4,1937520.0,2025-09-06 00:00:00
B1137,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-03-26,2025-04-03,8,1.0,Website,GBP,5500,44000.0,23.4,1029600.0,2025-01-23 00:00:00
B1138,P004,Okavango Delta Camp,Botswana,North-West,2025-10-01,2025-10-05,4,3.0,Travel Agent,ZAR,12000,48000.0,1.0,48000.0,2025-07-29 00:00:00
B1139,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-07-15,2025-07-24,9,5.0,OTA,EUR,5500,49500.0,20.1,994950.0,2025-05-24 00:00:00
B1140,P009,Cape Winelands Manor,South Africa,Western Cape,2025-02-22,2025-03-03,9,1.0,Travel Agent,USD,4100,36900.0,18.5,682650.0,2025-02-06 00:00:00
B1141,P004,Okavango Delta Camp,Botswana,North-West,2025-08-19,2025-08-25,6,1.0,Travel Agent,USD,5500,33000.0,18.5,610500.0,2025-06-28 00:00:00
B1142,P004,Okavango Delta Camp,Botswana,North-West,2025-01-15,2025-01-21,6,1.0,OTA,GBP,12000,72000.0,23.4,1684800.0,2024-11-11 00:00:00
B1143,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-08-29,2025-09-06,8,5.0,Travel Agent,USD,2500,20000.0,18.5,370000.0,2025-06-08 00:00:00
B1144,P009,Cape Winelands Manor,South Africa,Western Cape,2025-08-05,2025-08-07,2,3.0,Direct,GBP,3200,6400.0,23.4,149760.0,2025-05-13 00:00:00
B1145,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-02-02,2025-02-04,2,4.0,OTA,USD,7800,15600.0,18.5,288600.0,2025-01-28 00:00:00
B1146,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-06-30,2025-07-04,4,5.0,Travel Agent,EUR,5500,22000.0,20.1,442200.0,2025-04-22 00:00:00
B1147,P009,Cape Winelands Manor,South Africa,Western Cape,2025-01-11,2025-01-18,7,4.0,Travel Agent,ZAR,2500,17500.0,1.0,17500.0,2024-12-29 00:00:00
B1148,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-05-04,2025-05-06,2,5.0,Direct,GBP,9200,18400.0,23.4,430560.0,2025-02-06 00:00:00
B1149,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-08-26,2025-09-03,8,6.0,Website,EUR,3200,25600.0,20.1,514560.0,2025-07-27 00:00:00
B1150,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-06-11,2025-06-16,5,5.0,Direct,ZAR,5500,27500.0,1.0,27500.0,2025-05-31 00:00:00
B1151,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-05-20,2025-05-22,2,3.0,Website,ZAR,5500,11000.0,1.0,11000.0,2025-03-13 00:00:00
B1152,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-09-23,2025-09-28,5,1.0,Website,ZAR,9200,46000.0,1.0,46000.0,2025-08-08 00:00:00
B1154,P001,Sabi Sands Bush Lodge,South Africa,Mpumalanga,2025-06-30,2025-07-10,10,4.0,Website,USD,4100,41000.0,18.5,758500.0,2025-06-07 00:00:00
B1155,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-08-13,2025-08-14,1,2.0,Travel Agent,EUR,2500,2500.0,20.1,50250.0,2025-07-20 00:00:00
B1156,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-07-09,2025-07-15,6,4.0,OTA,USD,12000,72000.0,18.5,1332000.0,2025-04-12 00:00:00
B1157,P005,Zanzibar Beach Villas,Tanzania,Zanzibar,2025-08-05,2025-10-05,61,1.0,Website,EUR,9200,18400.0,20.1,369840.0,2025-03-31 00:00:00
B1158,P008,Kruger Gateway Hotel,South Africa,Mpumalanga,2025-04-20,2025-04-30,10,3.0,Direct,ZAR,9200,92000.0,1.0,92000.0,2025-02-18 00:00:00
B1159,P002,Table Bay Retreat,South Africa,Western Cape,2025-06-13,2025-06-19,6,6.0,OTA,GBP,2500,15000.0,23.4,351000.0,2025-03-19 00:00:00
B1160,P003,Serengeti Plains Camp,Tanzania,Serengeti,2025-07-05,2025-07-14,9,2.0,OTA,EUR,2500,22500.0,20.1,452250.0,2025-04-18 00:00:00
B1161,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-08-28,2025-09-06,9,2.0,Travel Agent,USD,7800,70200.0,18.5,1298700.0,2025-07-02 00:00:00
B1163,P010,Maasai Mara Tented Camp,Kenya,Rift Valley,2025-04-04,2025-04-07,3,4.0,OTA,USD,7800,23400.0,18.5,432900.0,2025-03-02 00:00:00
B1164,P006,Victoria Falls Lodge,Zimbabwe,Matabeleland,2025-09-23,2025-09-28,5,1.0,Travel Agent,EUR,4100,20500.0,20.1,412050.0,2025-07-12 00:00:00
B1165,P002,Table Bay Retreat,South Africa,Western Cape,2025-09-15,2025-09-18,3,5.0,Travel Agent,EUR,7800,23400.0,20.1,470340.0,2025-09-07 00:00:00
